url,title
https://english.elpais.com/usa/elections/2024-08-23/kamala-harris-calls-for-unity-to-stop-trump-as-she-accepts-nomination.html,Kamala Harris calls for unity to stop Trump as she accepts nomination
https://english.elpais.com/usa/elections/2024-08-23/the-latino-influencers-who-addressed-the-democratic-national-convention-and-what-they-said-about-voting.html,The Latino influencers who addressed the Democratic National Convention (and what they said about voting)
https://english.elpais.com/usa/elections/2024-08-23/democratic-national-convention-braids-small-penises-and-democracy.html,"Democratic National Convention: Braids, small penises and democracy"
https://english.elpais.com/international/2024-08-23/mike-lynch-the-rise-and-fall-of-the-british-bill-gates.html,Mike Lynch: The rise and fall of the ‘British Bill Gates’  
https://english.elpais.com/culture/2024-08-23/five-thousand-years-of-history-buried-in-the-undergrowth.html,Five thousand years of history buried in the undergrowth  
https://english.elpais.com/international/2024-08-23/clue-or-coincidence-the-hamas-series-about-a-major-surprise-attack-on-israel.html,Clue or coincidence? The Hamas series about a major surprise attack on Israel 
https://english.elpais.com/international/2024-08-23/venezuelas-supreme-court-a-tribunal-that-dispenses-justice-tailored-to-nicolas-maduros-needs.html,"Venezuela’s Supreme Court, a tribunal that dispenses justice tailored to Nicolás Maduro’s needs"
https://english.elpais.com/international/2024-08-23/polio-hepatitis-meningitis-gazas-humanitarian-disaster-takes-the-form-of-disease.html,"Polio, hepatitis, meningitis: Gaza’s humanitarian disaster takes the form of disease "
https://english.elpais.com/usa/2024-08-23/having-a-deported-family-member-affects-the-mental-health-of-latino-adolescents.html,Having a deported family member affects the mental health of Latino adolescents
https://english.elpais.com/health/2024-08-21/why-is-mpox-being-transmitted-mainly-between-children.html,Why is mpox being transmitted mainly between children?  
https://english.elpais.com/international/2024-08-23/taliban-enacts-law-banning-womens-voices-in-public-spaces-in-afghanistan.html,Taliban enacts law banning women’s voices in public spaces in Afghanistan
https://english.elpais.com/science-tech/2024-08-22/dolphins-are-no-longer-helping-out-fishers.html,Dolphins are no longer helping out fishers
https://english.elpais.com/sports/2024-08-22/ben-ainslie-skipper-of-ineos-britannia-ive-lost-too-many-friends-to-the-sea-i-have-a-very-healthy-respect-for-it.html,"Ben Ainslie, skipper of INEOS Britannia: ‘I’ve lost too many friends to the sea. I have a very healthy respect for it’"
https://english.elpais.com/people/2024-08-23/jennifer-lopez-asks-to-drop-ben-afflecks-surname-in-divorce-filing.html,Jennifer Lopez asks to drop Ben Affleck’s surname in divorce filing
https://english.elpais.com/culture/2024-08-21/commentary-behind-the-scenes-features-bloopers-what-did-we-lose-when-we-said-goodbye-to-dvds.html,"Commentary, behind-the-scenes features, bloopers: What did we lose when we said goodbye to DVDs?"
https://english.elpais.com/culture/2024-08-22/after-the-summer-success-of-inside-out-2-the-animation-industry-faces-an-uncertain-future.html,"After the summer success of ‘Inside Out 2,’ the animation industry faces an uncertain future"
https://english.elpais.com/climate/2024-08-21/the-scientist-who-proposes-pumping-sulfuric-acid-into-the-atmosphere-to-cool-the-planet.html,The scientist who proposes pumping sulfuric acid into the atmosphere to cool the planet
https://english.elpais.com/spain/2024-08-21/mass-tourism-in-spain-what-do-the-numbers-reveal.html,Mass tourism in Spain: What do the numbers reveal?
https://english.elpais.com/culture/2024-08-21/isabela-merced-cements-her-career-in-hollywood-alien-superman-and-the-last-of-us.html,"Isabela Merced cements her career in Hollywood: ‘Alien’, ‘Superman’ and ‘The Last of Us’"
https://english.elpais.com/climate/2024-08-19/the-expedition-that-searched-for-the-tallest-tree-in-the-amazon-and-found-a-sanctuary-of-giant-specimens.html,The expedition that searched for the tallest tree in the Amazon and found a sanctuary of giant specimens
https://english.elpais.com/climate/2024-08-20/bitcoin-mining-uses-the-same-amount-of-energy-as-argentina-while-laptops-need-a-ton-of-material.html,"Bitcoin mining uses the same amount of energy as Argentina, while laptops need a ton of material"
https://english.elpais.com/science-tech/2024-08-18/the-incredible-story-told-by-a-supernova-remnant.html,The incredible story told by a supernova remnant
https://english.elpais.com/health/2024-08-16/anosognosia-what-happens-when-a-person-is-unaware-of-their-mental-disorder.html,Anosognosia: What happens when a person is unaware of their mental disorder?  
https://english.elpais.com/sports/olympic-games/2024-08-15/seven-elite-women-athletes-who-had-to-justify-explain-or-defend-the-way-they-look.html,"Seven elite women athletes who had to justify, explain or defend the way they look  "
https://english.elpais.com/sports/olympic-games/2024-08-13/olympic-medal-table-by-population-and-wealth-which-countries-fared-the-best-at-the-paris-games.html,Olympic medal table by population and wealth: Which countries fared the best at the Paris Games?
https://english.elpais.com/international/2024-08-14/javier-mileis-government-scores-own-goal-with-diego-maradona-snub.html,Javier Milei’s government scores own goal with Diego Maradona snub
https://english.elpais.com/economy-and-business/2024-08-21/shein-vs-temu-the-battle-of-the-fast-fashion-giants.html,Shein vs Temu: The battle of the fast fashion giants
https://english.elpais.com/international/2024-08-18/the-catastrophe-of-the-floating-continent-tourism.html,The catastrophe of the floating continent: Tourism  
https://english.elpais.com/usa/2024-08-15/waitresses-serving-cappuccino-in-bikinis-us-questions-controversial-custom.html,Waitresses serving cappuccino in bikinis: US questions controversial custom
https://english.elpais.com/usa/elections/2024-08-15/the-only-campaign-proposal-that-kamala-harris-and-donald-trump-agree-on.html,The only campaign proposal that Kamala Harris and Donald Trump agree on
https://english.elpais.com/international/2024-08-19/the-submarine-that-tapped-the-soviets-phone.html,The submarine that tapped the Soviets’ phone
https://english.elpais.com/culture/2024-08-20/the-great-wave-off-kanagawa-from-a-t-shirt-design-to-illustrating-japans-new-banknotes.html,‘The Great Wave off Kanagawa’: From a T-shirt design to illustrating Japan’s new banknotes
https://english.elpais.com/culture/2024-08-19/scarlett-johanssons-new-film-flops-prompting-apple-to-rethink-its-film-strategy.html,"Scarlett Johansson’s new film flops, prompting Apple to rethink its strategy"
https://english.elpais.com/culture/2024-08-18/aptn-the-channel-for-canadas-indigenous-communities.html,"APTN, the channel for Canada’s Indigenous communities   "
https://english.elpais.com/culture/2024-08-18/leon-bridges-makes-an-intimate-musical-return-to-his-texas-roots.html,Leon Bridges makes an intimate musical return to his Texas roots 
https://english.elpais.com/lifestyle/2024-08-20/are-there-plants-that-purify-the-air.html,Are there plants that purify the air?
https://english.elpais.com/health/2024-08-22/men-have-a-biological-clock-too-heres-whats-more-likely-when-dads-are-over-50.html,Men have a biological clock too. Here’s what’s more likely when dads are over 50
https://english.elpais.com/travel/2024-08-17/neither-ugly-nor-unsafe-spains-la-linea-shakes-off-prejudices-in-its-tourist-awakening.html,Neither ugly nor unsafe: Spain’s La Línea shakes off prejudices in its tourist awakening
https://english.elpais.com/international/2024-08-15/mexicans-rush-to-see-the-relics-of-saint-jude-the-most-miraculous-saint.html,"Mexicans rush to see the relics of Saint Jude, the ‘most miraculous’ saint"
https://english.elpais.com/culture/2024-08-21/liza-colon-zayas-from-the-bear-the-backbone-of-the-united-states-has-always-been-black-and-brown-people.html,"Liza Colón-Zayas, from ‘The Bear’: ‘The backbone of the United States has always been Black and Brown people’"
https://english.elpais.com/people/2024-08-19/new-stylist-and-method-dressing-how-daisy-edgar-jones-has-gone-the-normal-people-girl-to-a-global-style-icon.html,New stylist and method dressing: How ‘Normal People’ star Daisy Edgar-Jones became a global style icon
https://english.elpais.com/culture/2024-08-16/brad-pitt-or-how-to-turn-a-movie-press-tour-into-a-personal-pr-campaign.html,Brad Pitt or how to turn a movie press tour into a personal PR campaign
https://english.elpais.com/culture/2024-08-15/at-least-one-person-arrested-in-connection-with-matthew-perrys-death.html,"The ‘Ketamine Queen,’ two doctors and Matthew Perry’s assistant among five arrested in ‘Friends’ actor’s death"
https://english.elpais.com/international/2024-08-20/with-the-ukrainian-army-in-kursk-we-are-finally-going-to-take-the-war-to-russia.html,With the Ukrainian army in Kursk: ‘We are finally going to take the war to Russia’
https://english.elpais.com/international/2024-08-19/scandals-the-shadow-of-el-mayo-and-the-war-against-governor-rocha-the-tangled-life-and-death-of-hector-cuen.html,"Scandals, the shadow of El Mayo and the war against Governor Rocha: The tangled life and death of Héctor Cuén"
https://english.elpais.com/science-tech/2024-08-18/diana-yousef-from-nasa-consultant-to-inventor-of-a-toilet-that-evaporates-waste.html,Diana Yousef: from NASA consultant to inventor of a toilet that evaporates waste  
https://english.elpais.com/international/2024-08-18/cultural-keys-to-understanding-the-war-in-gaza.html,Cultural keys to understanding the war in Gaza 
https://los40.us/,Listen now LOS40 USA
https://los40.us/2024/rosalia-40-things-you-probably-didnt-know-about-la-motomami-23813.html,Rosalía: 40 Facts You (Probably) Didn’t Know About ‘La Motomami’
https://los40.us/2024/sabrina-carpenters-new-album-unveils-love-triangle-whos-the-famous-singer-23928.html,Sabrina Carpenter’s New Album Unveils Love Triangle: Who’s the Famous Singer?
https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html,EL PAÍS offers free Spanish lessons with Gymglish
https://english.elpais.com/usa/2024-08-17/the-politicization-of-violent-crime-in-the-us-ignores-the-numbers.html,The politicization of violent crime in the US ignores the numbers
https://english.elpais.com/usa/2024-08-16/republican-offensive-opens-new-fronts-against-undocumented-immigrants-in-health-and-education.html,Republican offensive opens new fronts against undocumented immigrants in health and education
https://english.elpais.com/international/2024-08-17/the-bedouin-fighting-from-israel-to-get-his-family-out-of-gazas-hell.html,The Bedouin fighting from Israel to get his family out of Gaza’s hell
https://english.elpais.com/international/2024-08-16/a-summer-away-from-the-bombing-of-ukraine-thanks-to-the-spanish-province-of-jaen.html,"A summer away from the bombing of Ukraine, thanks to the Spanish province of Jaén"
https://english.elpais.com/international/2024-08-17/a-trip-to-el-teniente-the-largest-underground-copper-mine-in-the-world.html,"A trip to El Teniente, the largest underground copper mine in the world"
https://english.elpais.com/climate/2024-08-16/panamas-climate-refugees-are-still-without-a-school.html,Venezuela kicks off its most uncertain presidential campaign
https://english.elpais.com/economy-and-business/2024-08-13/money-doesnt-fear-geopolitic-shocks-markets-are-ignoring-the-global-instability.html,Money doesn’t fear geopolitical shocks: Markets are ignoring the global instability
https://english.elpais.com/culture/2024-08-11/its-not-just-you-whos-seeing-too-many-elon-musk-tweets.html,An economic paradox: When savings are both a good and a bad idea
https://english.elpais.com/culture/2024-08-14/robert-mapplethorpe-and-patti-smith-if-you-dont-come-ill-be-with-a-guy.html,"Robert Mapplethorpe and Patti Smith: ‘If you don’t come, I’ll be with a guy’"
https://english.elpais.com/culture/2024-08-13/dna-testing-identifies-teodomiro-the-bishop-who-founded-the-camino-de-santiago-pilgrimmage-12-centuries-ago.html,"DNA testing identifies Teodomiro, the bishop who founded the Camino de Santiago pilgrimage 12 centuries ago"
https://english.elpais.com/health/2024-08-12/new-study-explains-how-music-affects-the-brains-of-patients-with-depression.html,New study explains how music affects the brains of patients with depression
https://english.elpais.com/science-tech/2024-08-12/emiliano-bruner-paleoneurobiologist-with-this-big-brain-we-are-intelligent-and-sad-monkeys.html,"Emiliano Bruner, paleoneurobiologist: ‘With this big brain, we are intelligent and sad monkeys’"
https://english.elpais.com/lifestyle/2024-08-11/feeling-sexy-is-a-right-why-men-are-bearing-all-on-instagram.html,‘Feeling sexy is a right’: why men are bearing all on Instagram  
https://english.elpais.com/lifestyle/2024-08-10/voluntary-celibacy-giving-up-sex-to-improve-your-sex-life-does-it-work.html,Voluntary celibacy: giving up sex to improve your sex life... Does it work?
https://english.elpais.com/sports/olympic-games/2024-08-07/the-eccentric-struggle-of-32-writers-to-win-olympic-gold-at-the-paris-1924-games.html,The eccentric struggle of 32 writers to win Olympic gold at the Paris 1924 Games
https://english.elpais.com/sports/2024-08-05/why-mountaineering-will-never-be-a-sport.html,"Climbing without a rope, between freedom and psychopathy"
